Designator,Quantity,Value,,,,,Link,
C2;C3;C1,3,10n,,,100,,http://www.mouser.com/ProductDetail/TDK/FG18C0G2A103JRT06,
D2,1,LED,,,20,,http://www.mouser.com/ProductDetail/Lumex/SLX-LX3044HD,
D3,1,FR154-B,583-RL153-B, Rectron,25,,http://www.mouser.com/ProductDetail/Rectron/RL153-B,
D4,1,1.5KE18A,,,25,,http://www.mouser.com/ProductDetail/Littelfuse/15KE18A,
J1;J2,2,Screw_Terminal_1x02,,,35,,http://www.mouser.com/ProductDetail/Phoenix-Contact/1985946,
J3,1,Screw_Terminal_1x04,,,-,,http://www.mouser.com/ProductDetail/Phoenix-Contact/1725672,
Q2,1,irfb7546pbf,771-BUK758R3-40E127,Nexperia,20,diff,http://www.mouser.com/ProductDetail/Infineon/IRFB7546PBF,http://www.mouser.com/ProductDetail/Nexperia/BUK758R3-40E127
Q3,1,BC337,,,10,,http://www.mouser.com/ProductDetail/Taiwan-Semiconductor/BC337-16-A1,
Q4,1,2N5401-T,,,20,,http://www.mouser.com/ProductDetail/Rectron/2N5401-T,http://www.mouser.com/ProductDetail/Central-Semiconductor/2N5401
R1;R2,2,10k,,,200,http://www.mouser.com/Xicon/Metal-Film-Resistors-Through-Hole/270-Series/_/N-1z0zls8Z7gz41Z1yzv5rx,,
R3,1,4.7k,,,20,,,
R4;R12;R14,3,1k,,,-,,,
R8;R7,2,33k,,,200,,,
R9;R10;R5;R17;R16;R15,6,100k,,,-,,,
R13,1,1.5k,,,20,,,
RV1,1,10k,,,20,,http://www.mouser.com/ProductDetail/Bourns/3296W-1-103LF,
U1,1,TL431LP,511-TL431CZ-AP,STMicroelectronics,20,diff,http://www.mouser.com/ProductDetail/Texas-Instruments/TL431ACLPR,
U2,1,LM358,,,20,,http://www.mouser.com/ProductDetail/Fairchild-Semiconductor/LM358AN,
,,,,,,,,
spacers,4,,,,100,http://www.mouser.com/Search/ProductDetail.aspx?R=405virtualkey53400000virtualkey534-405,,
bolts,4,3/4”,,,100,http://www.mouser.com/ProductDetail/Keystone-Electronics/9304/?qs=sGAEpiMZZMtFmYSM%2fWUJwjMM2jkmYE8Tvh6OCc7h9eE%3d,,
